,Name,Company,Year,Price,KMS_Driven,Fuel_Type,Transmission,Current Year,Age
274,Chevrolet Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol,Automatic,2021,11
275,Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel,Manual,2021,5
276,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol,Automatic,2021,21
277,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel,Manual,2021,6
278,Chevrolet Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol,Manual,2021,11
279,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Manual,2021,8
280,Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol,Manual,2021,13
281,Chevrolet Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol,Automatic,2021,6
282,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel,Manual,2021,10
283,Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000,30000,Diesel,Manual,2021,5
284,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,Manual,2021,15
285,Mahindra TUV300 T4 Plus,Mahindra,2016,675000,9000,Diesel,Manual,2021,5
286,Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol,Manual,2021,8
287,Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol,Automatic,2021,8
288,Tata Indica V2 Xeta e GLE,Tata,2008,150000,11000,Petrol,Manual,2021,13
289,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual,2021,8
290,Tata Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel,Manual,2021,12
291,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol,Automatic,2021,2
292,Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000,160000,Diesel,Manual,2021,17
293,Honda Accord,Honda,2009,175000,58559,Petrol,Automatic,2021,12
294,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Manual,2021,6
295,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Manual,2021,8
296,Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000,57000,Diesel,Automatic,2021,7
297,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,Automatic,2021,6
298,Honda Amaze,Honda,2014,299999,37000,Petrol,Automatic,2021,7
299,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,Manual,2021,9
300,Honda City,Honda,2011,284999,55000,Petrol,Manual,2021,10
301,Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000,170000,Diesel,Manual,2021,14
302,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,Manual,2021,7
303,Honda City,Honda,2015,644999,39000,Petrol,Manual,2021,6
304,Honda Mobilio,Honda,2014,399999,44000,Petrol,Manual,2021,7
305,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,Manual,2021,12
306,Honda City,Honda,2014,584999,39000,Petrol,Manual,2021,7
307,Skoda Laura,Skoda,2012,349999,44000,Diesel,Manual,2021,9
308,Renault Duster,Renault,2015,449999,49000,Diesel,Automatic,2021,6
309,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,Manual,2021,3
310,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,Manual,2021,6
311,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,Manual,2021,7
312,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Automatic,2021,9
313,Maruti Suzuki Vit Brezza,Maruti,2016,689999,29000,Diesel,Automatic,2021,5
314,Maruti Suzuki Wagon R,Maruti,2016,344999,15000,Petrol,Automatic,2021,5
315,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,Manual,2021,6
316,Honda Amaze,Honda,2014,274999,35000,Petrol,Manual,2021,7
317,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,Automatic,2021,8
318,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,Automatic,2021,8
319,Skoda Laura,Skoda,2013,374999,50000,Diesel,Manual,2021,8
320,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,Manual,2021,11
321,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,Manual,2021,5
322,Tata Manza Aura Quadrajet,Tata,2012,130000,72000,Diesel,Manual,2021,9
323,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol,Automatic,2021,8
324,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel,Manual,2021,9
325,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel,Manual,2021,8
326,Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,40000,Diesel,Manual,2021,9
327,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,Automatic,2021,8
328,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000,35000,Diesel,Automatic,2021,8
329,Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000,20000,Diesel,Manual,2021,5
330,Renault Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel,Manual,2021,6
331,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Manual,2021,8
332,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol,Manual,2021,7
333,Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol,Manual,2021,6
334,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Manual,2021,9
335,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,Automatic,2021,4
336,Hyundai i20,Hyundai,2014,449999,23000,Petrol,Manual,2021,7
337,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,Manual,2021,7
338,Hyundai i10,Hyundai,2012,244999,38000,Petrol,Automatic,2021,9
339,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,Manual,2021,6
340,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,Manual,2021,4
341,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,Manual,2021,10
342,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,Automatic,2021,11
343,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,Manual,2021,7
344,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,Automatic,2021,8
345,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,Manual,2021,10
346,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,Manual,2021,9
347,Mahindra Bolero Power Plus SLE,Mahindra,2018,699000,1800,Diesel,Automatic,2021,3
348,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,Manual,2021,6
349,Honda City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol,Manual,2021,11
350,Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol,Manual,2021,12
351,Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel,Manual,2021,2
352,Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel,Manual,2021,9
353,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,Manual,2021,5
354,Tata Indigo eCS VX CR4 BS IV,Tata,2014,250000,40000,Diesel,Manual,2021,7
355,Mahindra Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel,Automatic,2021,8
356,Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel,Automatic,2021,6
357,Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,48000,Diesel,Manual,2021,8
358,Tata Vista Quadrajet VX,Tata,2011,120000,90000,Diesel,Automatic,2021,10
359,Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol,Automatic,2021,6
360,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Manual,2021,9
361,Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol,Manual,2021,18
362,Mahindra Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel,Manual,2021,2
363,Hyundai i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol,Manual,2021,10
364,Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol,Manual,2021,6
365,Maruti Suzuki Swift Dzire  LDi,Maruti,2016,350000,166000,Diesel,Automatic,2021,5
366,Honda City ZX EXi,Honda,2008,149000,42000,Petrol,Manual,2021,13
367,Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel,Automatic,2021,3
368,Mahindra Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel,Automatic,2021,15
369,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,Automatic,2021,4
370,Honda City 1.5 S MT,Honda,2010,225000,70000,Petrol,Manual,2021,11
371,Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol,Manual,2021,7
372,Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel,Manual,2021,9
373,Maruti Suzuki Maruti 800 Std ? Befo,Maruti,1995,30000,55000,Petrol,Manual,2021,26
374,Toyota Etios,Toyota,2011,275000,36000,Diesel,Automatic,2021,10
375,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Automatic,2021,6
376,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,Manual,2021,7
377,Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel,Manual,2021,6
378,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol,Manual,2021,9
379,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol,Manual,2021,17
380,Tata Indigo LX TDI BS III,Tata,2016,130000,104000,Diesel,Automatic,2021,5
381,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel,Automatic,2021,10
382,Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,399000,41000,Petrol,Automatic,2021,19
383,Maruti Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel,Automatic,2021,8
384,Honda City,Honda,2000,65000,80000,Petrol,Manual,2021,21
385,Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol,Automatic,2021,15
386,Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol,Manual,2021,20
387,Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel,Automatic,2021,4
388,Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol,Automatic,2021,3
389,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel,Automatic,2021,10
390,Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol,Automatic,2021,4
391,Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol,Automatic,2021,10
392,Honda Jazz S MT,Honda,2009,169999,24695,Petrol,Automatic,2021,12
393,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol,Manual,2021,4
394,Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol,Automatic,2021,20
395,Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,65000,Diesel,Manual,2021,9
396,Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol,Manual,2021,7
397,Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel,Manual,2021,5
398,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel,Automatic,2021,9
399,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016,950000,25000,Petrol,Manual,2021,5
400,Hyundai i20 Magna O 1.2,Hyundai,2013,310000,35000,Petrol,Manual,2021,8
401,Renault Duster 85 PS RxL Explore LE,Renault,2015,715000,65000,Diesel,Manual,2021,6
402,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,35000,Petrol,Manual,2021,7
403,Honda Brio V MT,Honda,2012,235000,33000,Petrol,Automatic,2021,9
404,Mahindra TUV300 T4 Plus,Mahindra,2017,610000,68000,Diesel,Manual,2021,4
405,Chevrolet Spark LS 1.0,Chevrolet,2010,95000,23000,Petrol,Manual,2021,11
406,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel,Automatic,2021,3
407,Maruti Suzuki Swift Dzire  LDi,Maruti,2015,220000,129000,Diesel,Automatic,2021,6
408,Nissan X Trail Select Variant,Nissan,2019,1200000,300,Diesel,Manual,2021,2
409,Maruti Suzuki Alto 800 Vxi,Maruti,2015,230000,5000,Petrol,Manual,2021,6
410,Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000,65000,Petrol,Manual,2021,20
411,Toyota Fortuner 3.0 4x4 MT,Toyota,2010,940000,131000,Diesel,Automatic,2021,11
412,Tata Manza ELAN Quadrajet,Tata,2010,155555,111111,Petrol,Automatic,2021,11
413,Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000,14000,Petrol,Automatic,2021,8
414,Chevrolet Beat LS Diesel,Chevrolet,2016,210000,22000,Diesel,Manual,2021,5
415,Ford EcoSport Trend 1.5L TDCi,Ford,2013,495000,38000,Diesel,Automatic,2021,8
416,Tata Indigo LS,Tata,2016,125000,70000,Diesel,Manual,2021,5
417,Hyundai i20 Magna 1.2,Hyundai,2010,195000,36000,Petrol,Manual,2021,11
418,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000,34000,Diesel,Manual,2021,6
419,Renault Kwid RXT,Renault,2015,270000,43000,Petrol,Manual,2021,6
420,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,500000,40000,Diesel,Manual,2021,7
421,Honda Amaze 1.5 E i DTEC,Honda,2016,240000,160000,Diesel,Manual,2021,5
422,Hyundai Verna 1.6 EX VTVT,Hyundai,2017,800000,12000,Petrol,Automatic,2021,4
423,BMW 5 Series 520d Sedan,BMW,2011,1299000,49000,Diesel,Manual,2021,10
424,Skoda Superb 1.8 TFSI AT,Skoda,2011,530000,68000,Petrol,Automatic,2021,10
425,Audi Q3 2.0 TDI quattro Premium,Audi,2013,1499000,37000,Diesel,Manual,2021,8
426,Mahindra Bolero DI BSII,Mahindra,2012,220000,59466,Diesel,Manual,2021,9
427,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic,2021,6
428,Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000,99000,Diesel,Manual,2021,9
429,Maruti Suzuki Wagon R VXI BS IV,Maruti,2018,395000,25500,Petrol,Manual,2021,3
430,Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,130000,66000,Petrol,Manual,2021,12
431,Tata Nano GenX XMA,Tata,2010,32000,44005,Petrol,Manual,2021,11
432,Mahindra TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel,Manual,2021,5
433,Mahindra TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel,Automatic,2021,5
434,Hyundai Elite i20 Magna 1.2,Hyundai,2015,405000,28000,Petrol,Automatic,2021,6
435,Hyundai Elite i20 Magna 1.2,Hyundai,2015,400000,30000,Petrol,Automatic,2021,6
436,Honda City SV,Honda,2017,760000,4000,Petrol,Manual,2021,4
437,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,500000,28000,Petrol,Manual,2021,5
438,Ford Figo Petrol LXI,Ford,2011,175000,75000,Petrol,Manual,2021,10
439,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual,2021,6
440,Honda City,Honda,2017,750000,3000,Petrol,Manual,2021,4
441,Hyundai Elite i20 Magna 1.2,Hyundai,2015,419000,20000,Petrol,Manual,2021,6
442,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol,Manual,2021,17
443,Hyundai Eon Era Plus,Hyundai,2018,140000,2110,Petrol,Manual,2021,3
444,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1540000,43222,Petrol,Manual,2021,6
445,Hyundai i10 Magna 1.2 Kappa2,Hyundai,2008,275000,100200,Petrol,Manual,2021,13
446,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol,Manual,2021,18
447,Maruti Suzuki Swift Dzire  VXi,Maruti,2011,230000,65,Petrol,Manual,2021,10
448,Tata Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel,Manual,2021,6
449,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic,2021,6
450,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual,2021,6
451,Hyundai Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel,Manual,2021,5
452,Honda City,Honda,2015,499999,55000,Petrol,Manual,2021,6
453,Hyundai Accent Executive Edition,Hyundai,2009,165000,48000,Petrol,Manual,2021,12
454,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol,Manual,2021,5
455,Tata  XE 75 PS Diesel,Tata,2018,480000,103553,Diesel,Manual,2021,3
456,Maruti Suzuki Dzire LDI,Maruti,2017,488000,80000,Diesel,Automatic,2021,4
457,Tata Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel,Manual,2021,7
458,Toyota Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol,Automatic,2021,11
459,Maruti Suzuki Eeco 7 STR,Maruti,2013,290000,70000,LPG,Manual,2021,8
460,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel,Manual,2021,6
461,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,Manual,2021,8
462,Tata Tigor Revotron XZ,Tata,2019,650000,100,Diesel,Manual,2021,2
463,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol,Manual,2021,20
464,Maruti Suzuki Ertiga Vxi,Maruti,2015,550000,75000,Petrol,Automatic,2021,6
465,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol,Automatic,2021,17
466,Honda Mobilio S i DTEC,Honda,2014,399000,44000,Diesel,Automatic,2021,7
467,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,Automatic,2021,5
468,Maruti Suzuki Vit Brezza,Maruti,2017,725000,36000,Diesel,Manual,2021,4
469,Hyundai Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel,Automatic,2021,5
470,Maruti Suzuki Swift VXI BSIII,Maruti,2007,130000,62000,Petrol,Manual,2021,14
471,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel,Manual,2021,6
472,Maruti Suzuki Omni Select Variant,Maruti,2014,190000,6020,Petrol,Manual,2021,7
473,Honda Amaze,Honda,2013,250000,55700,Diesel,Manual,2021,8
474,Tata Indica,Tata,2005,80000,42000,Petrol,Manual,2021,16
475,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol,Manual,2021,18
476,Maruti Suzuki Zen Estilo,Maruti,2010,149000,35000,Petrol,Manual,2021,11
477,Maruti Suzuki Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol,Manual,2021,7
478,Maruti Suzuki Wagon R,Maruti,2007,120000,7000,Petrol,Manual,2021,14
479,Honda Brio VX AT,Honda,2017,450000,11000,Petrol,Automatic,2021,4
480,Maruti Suzuki Zen LXi BSII,Maruti,2003,99999,53000,Petrol,Manual,2021,18
481,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol,Automatic,2021,13
482,Maruti Suzuki Wagon R Select Variant,Maruti,2016,225000,35500,Diesel,Manual,2021,5
483,Maruti Suzuki Alto LXi BS III,Maruti,2010,99000,22134,Petrol,Manual,2021,11
484,Renault Kwid RXT,Renault,2019,370000,1000,Petrol,Manual,2021,2
485,Tata Nano Lx BSIV,Tata,2010,52000,9000,Petrol,Automatic,2021,11
486,Jaguar XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol,Manual,2021,5
487,Hyundai Eon Magna Plus,Hyundai,2014,190000,35000,Petrol,Automatic,2021,7
488,Honda City 1.5 S MT,Honda,2014,499000,22000,Petrol,Manual,2021,7
489,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Manual,2021,19
490,Maruti Suzuki Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol,Manual,2021,11
491,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol,Manual,2021,4
492,Hyundai Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol,Automatic,2021,5
493,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol,Automatic,2021,6
494,Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol,Manual,2021,4
495,Honda Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol,Automatic,2021,7
496,Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol,Manual,2021,8
497,Maruti Suzuki Vit Brezza LDi O,Maruti,2016,580000,25000,Diesel,Automatic,2021,5
498,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol,Manual,2021,6
499,Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol,Manual,2021,5
500,Mahindra Scorpio Vlx BSIV,Mahindra,2013,690000,75000,Diesel,Manual,2021,8
501,Maruti Suzuki Ertiga VDi,Maruti,2012,480000,51000,Diesel,Manual,2021,9
502,Mitsubishi Lancer 1.8 LXi,Mitsubishi,2006,85000,50000,Petrol,Manual,2021,15
503,Maruti Suzuki Maruti 800 AC,Maruti,2001,40000,75000,Petrol,Manual,2021,20
504,Maruti Suzuki Alto 800 LXI CNG O,Maruti,2015,90000,55800,Petrol,Automatic,2021,6
505,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,53000,Petrol,Automatic,2021,6
506,Hyundai Eon D Lite Plus,Hyundai,2018,260000,25000,Petrol,Manual,2021,3
507,Ford Fiesta SXi 1.6 ABS,Ford,2009,250000,56400,Petrol,Manual,2021,12
508,Maruti Suzuki Ritz VDi,Maruti,2010,180000,72160,Diesel,Manual,2021,11
509,Hyundai Verna Fluidic New,Hyundai,2012,350000,10000,Diesel,Manual,2021,9
510,Maruti Suzuki Wagon R LXi BS III,Maruti,2006,90001,48000,Petrol,Automatic,2021,15
511,Maruti Suzuki Estilo LX BS IV,Maruti,2007,115000,36000,Petrol,Manual,2021,14
512,Audi A6 2.0 TDI Premium,Audi,2012,1599000,11500,Diesel,Manual,2021,9
513,Maruti Suzuki Wagon R LXi BS III,Maruti,2003,130000,133000,Petrol,Manual,2021,18
514,Maruti Suzuki Wagon R,Maruti,2009,159000,27000,Petrol,Manual,2021,12
515,Maruti Suzuki Wagon R,Maruti,2009,160000,35000,Petrol,Manual,2021,12
516,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol,Automatic,2021,11
517,Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,425000,40000,Petrol,Automatic,2021,5
518,Hyundai Verna 1.6 SX VTVT AT,Hyundai,2019,900000,2000,Petrol,Manual,2021,2
519,Maruti Suzuki Swift GLAM,Maruti,2009,150000,45000,Petrol,Manual,2021,12
520,Hyundai Getz Prime 1.3 GVS,Hyundai,2009,110000,20000,Petrol,Manual,2021,12
521,Hyundai Santro,Hyundai,2000,51999,88000,Petrol,Manual,2021,21
522,Hyundai Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol,Automatic,2021,12
523,Chevrolet Beat PS Diesel,Chevrolet,2012,215000,65422,Diesel,Manual,2021,9
524,Ford EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,10000,Petrol,Manual,2021,4
525,Maruti Suzuki Dzire ZXI,Maruti,2013,380000,35000,Petrol,Manual,2021,8
526,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,117000,Diesel,Manual,2021,8
527,Tata Indica V2 DLG,Tata,2005,35000,150000,Diesel,Manual,2021,16
528,BMW X1 xDrive20d xLine,BMW,2011,1150000,72000,Diesel,Manual,2021,10
529,Hyundai i20 Asta 1.2,Hyundai,2010,300000,10750,Petrol,Manual,2021,11
530,Honda City 1.5 V AT,Honda,2009,269000,55000,Petrol,Automatic,2021,12
531,Tata Nano,Tata,2013,60000,6800,Petrol,Manual,2021,8
532,Chevrolet Cruze LTZ AT,Chevrolet,2014,400000,41000,Diesel,Manual,2021,7
533,Hyundai Verna Fluidic New,Hyundai,2015,430000,73000,Diesel,Manual,2021,6
534,Maruti Suzuki Swift Dzire VDi,Maruti,2011,140000,65000,Diesel,Manual,2021,10
535,Mahindra XUV500 W6,Mahindra,2014,8500003,45000,Diesel,Manual,2021,7
536,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel,Automatic,2021,3
537,Maruti Suzuki Alto K10 LXi CNG,Maruti,2014,199000,37000,Petrol,Automatic,2021,7
538,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol,Automatic,2021,15
539,Force Motors One SUV,Force,2013,550000,140000,Diesel,Manual,2021,8
540,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol,Automatic,2021,2
541,Chevrolet Spark 1.0 LT,Chevrolet,2011,100000,27000,Petrol,Manual,2021,10
542,Hyundai i10,Hyundai,2009,215000,27000,Petrol,Automatic,2021,12
543,Toyota Etios Liva GD,Toyota,2012,380000,20000,Diesel,Manual,2021,9
544,Renault Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,57923,Diesel,Automatic,2021,8
